group_id_text	group_name	group_type	group_keyword	group_members	group_description
vcfs_22q11_2	vcfs 22q11.2	Public	 Autoimmune 	1	this is a serious genetic related defect that is overlooked..it needs more awareness and more support...complications regarding this are hardly ever the same..but the support that is needed is...from learning difficulties to heart related problems..from hearing problems to muscle related.or all of the above and then some..this needs to be brought to attention..and it will be...please join this group
fibroids	Uterine Fibroids	Public	 Women's Health 	6	About half of all women will have uterine fibroids at some point.  Some research says that  as high as 80% of women will have at least one fibroid by the time they are age 50.  Most of these fibroids will not be symptomatic.  About 300,000 hysterectomies are performed each year in the U.S. due to fibroids that are causing problems.This group is a place to ask questions, talk about treatment options, offer advice and BTDT's (been there done that), and generally have a safe place to discuss uterine fibroids.  Some women really need treatment, some really don't, and appropriately getting or avoiding treatment usually comes down to knowledge.
vent	vent	Public	 MedHelp General 	2	vent about being ill.
unda__the_table_	Unda' the table.	 Private 	 Addiction 	6	place to share and talk about anything and everything....addiction health issues, concerns and help.
working_moms_group	Working Moms Group	Public	 Children's Health 	6	a place for working moms to talk about issues without getting guilt trips about having to or choosing to work any working mom is welcome to join!
weight_gain	Weight gain	Public	 MedHelp General 	8	This is for the persons who wants to gain the weight.
weight_loss	Weight Loss	 Private 	 Healthy Living 	1	Weight Loss
wholistic_awareness	W*Holistic Awareness	Public	 General Health 	1	The real and deeper meaning of the word W*Holistic
want_new_friends	Want new friends???	Public	 MedHelp General 	5	Come here if you would like to meet someone new
which_food_or_exercise_increses_the_pregnancy____	which food or exercise increses the pregnancy....	Public	 Pregnancy 	13	any experiences of pregnancy diet or position or .....
willing_to_pray_and_listen	Willing to pray and listen	Public	 General Health 	7	This group is designed to offer an ear to hear. I am willing to listen to you. I am also willing to pray for you.I promise not to judge just pray if you feel you need someone to pray with you.Hugs!It is hard to go threw so many things. It is always nice to have at least one person to talk to. Doors Open!
you_are_not_alone_	You Are Not Alone!	 Private 	 Addiction 	1	A place you can be honest about the drugs you take and not be judged.
weight_loss_journeys	Weight Loss Journeys	Public	 Healthy Living 	175	A group for people who would like regular buddy support on their weight loss journey.Anyone can join the group the only request from every member it to participate in teh group regularily - to share highs and lows, to be supportive and inspiring to eachother.
you_name_it	You name it	Public	 Diabetes 	5	Any thing that makes you think wisely
women_s_health_center	Women's Health Center	Public	 Women's Health 	139	Utilize minimally invasive surgery, high-resolution ultrasound imaging, preventive womenâs health techniques, and management of both high risk and normal pregnancies to provide comprehensive care for women of all ages, all while maintaining a personal touch.
your_life_story	Your Life Story	Public	 Mental/Emotional Health 	58	This group is a place where you can share your life story, and explain why you have grown to be the way you are. We want to be understood and loved, right? But the only way we can be understood and loved is if we open up and share who we feel we really are with others. By being honest with how we feel, we will make real friends, and get the support we want and need. See, if we all hide away in fear, we will never realize that there are millions of people also hiding in fear, and we may otherwise never find the love and support we could have. So please share your story with us, we welcome you with an open heart!!
working_men	WORKING MEN	Public	 Genetics 	1	WORKING MEN NEED TO KNOW. WE DONT GO TO THE DOCTOR BECAUSE WE WORK. WE USUALLY RELY ON OTHER PEOPLE TO TELL US ABOUT WHAT IMMEDIATELY IS GONIG ON WITH OURSELVES OR IMMEDIATE FAMILY. THIS GROUP IS OPENED TO EVERYBODY WITH REAL PROBLEMS. THE FOUNDATION OF THIS GROUP WILL BE LAYED BY THE EVERYDAY CHALLENGES LIFE BRINGS TO US. IM A 28 YEAR OLD MAN WHO WORKS AROUND 70 HOURS A WEEK UNDERGROUND COAL MINING IN ABOUT 52 INCHES. MY FAMILY IS A WIFE AND 2 CHILDREN WHO HAVE A GENECTIC DISEASE CALLED FABRY. MY DAUGHTER AT AGE 13 IS GOING THROUGH PRUBITY WHICH KIND OF FREAKS ME OUT BECAUSE IM A GUY IT SHOULD IT BUT IT DOES. THE FOROUM ISNT ABOUT NONSENSE OR SPELL CHECK OR PROPER GRAMMER. ITS IN CAPITAL LETTERS NOT FOR IMPORTANCE BUT SO AFTER WORKING IN THE DARK I STILL CAN READ A LIGHTED SCREEN. ITS NOT ABOUT STATS, MIRACLES, OR EVEN COMPASSION. HELP. THATS ALL ITS ABOUT. I WORRY ABOUT MY HEALTH BEING A WORKING MAN JUST LIKE ANYBODY ELSE THAT SUPPLIES FOR THEIR FAMILY. STRESS, DRUGS, SUICIDE, HEART PROBLEM, RARE CANCERS WE DEAL WITH IT EVERYDAY. COME ON AND JOIN THE GROUP I WANT YOUR QUESTIONS AND COMMENTS IN BOTH MEDICAL AND MENTAL HEALTH AND WE'LL TAKE IT ON.  THANKS  JAY
zyban_experiences	zyban experiences	Public	 MedHelp General 	3	Has any one had a good or bad zyban experience or thinking of using them as an aid to give up smoking or depression, I have been reading some interesting things about these pills, so it would be good for your feed back and it would all so help people in the future decide if its right for them :) p.s I am on day 8 at the moment and have insomnia and i am getting obsessed with each task i do.
want_the_truth__you_can_t_handle_the_truth_	Want the truth? You can't handle the truth!	Public	 Alternative Medicine 	2	This group is for everyone who wants an answer but nobody will give them an honest one... Do you have a problem and don't know how to solve it? Friends and family members tell you what you want to hear? Can't stand liars? Well I will not candy-coat the truth for you, my dear. You will get it raw & uncut. Minus the obsenities, of course....
wolves	Wolves	Public	 Pets 	1	for those who love all wolves and want to save and protect them
parisweekend	weekend breaks europe	Public	 Diabetes 	1	Brilliant Trips provides UK short breaks donât have to be boring, and weekend breaks abroad donât have to be expensive. And also some winning breaks offering exciting activities, great evening entertainment and amazing value for money.Brilliant trips offers One Night Breaks trips. Whether you join a Brilliant Group trip, or gather your friends and organize your own group, we will make sure everything is just the way you want it.For More Details:http://brillianttrips.co.uk/
